image_name,bboxs_coords
FIRST/clip6.png,"[array([1908.4027, 1171.8607, 1958.6671, 1308.9603], dtype=float32), array([2018.2262, 1153.383 , 2079.0989, 1313.0487], dtype=float32), array([1979.3741, 1179.1635, 2024.6537, 1296.7612], dtype=float32), array([2443.2852, 1045.1786, 2541.925 , 1274.6979], dtype=float32)]"
FIRST/clip10.png,"[array([2029.763 , 1171.232 , 2099.9463, 1345.7382], dtype=float32), array([ 328.96094, 1162.958  ,  409.1753 , 1384.8069 ], dtype=float32), array([5.7562119e-01, 1.0997581e+03, 7.0330772e+01, 1.3726693e+03],
      dtype=float32)]"
FIRST/clip17.png,"[array([2437.363 , 1048.9358, 2582.3315, 1468.8628], dtype=float32), array([2123.7856, 1141.671 , 2212.3213, 1367.8223], dtype=float32), array([2260.8025, 1122.1088, 2345.3508, 1359.6633], dtype=float32), array([1249.6768, 1229.506 , 1282.8853, 1315.1644], dtype=float32), array([1219.2317, 1232.6759, 1250.0386, 1315.6576], dtype=float32), array([ 867.1019, 1182.3567,  934.8304, 1356.925 ], dtype=float32), array([ 794.90027, 1192.7488 ,  851.22736, 1345.6754 ], dtype=float32), array([ 597.4734 , 1156.9956 ,  666.43353, 1344.6871 ], dtype=float32), array([1878.6289, 1193.2135, 1922.2874, 1312.9224], dtype=float32)]"
FIRST/clip5.png,"[array([2410.2048, 1116.8248, 2486.26  , 1297.6898], dtype=float32), array([ 445.13043, 1176.4845 ,  495.19598, 1317.9951 ], dtype=float32), array([2549.5183, 1106.5732, 2611.067 , 1281.6561], dtype=float32), array([2496.6313, 1108.5337, 2565.8984, 1298.2466], dtype=float32), array([1957.9473, 1204.829 , 1997.1322, 1312.5903], dtype=float32), array([2056.5654, 1180.6248, 2106.648 , 1313.8422], dtype=float32), array([2237.1792, 1153.9546, 2281.4717, 1273.4448], dtype=float32), array([2614.4473, 1094.1321, 2670.2097, 1250.311 ], dtype=float32), array([2728.6555, 1051.6332, 2793.8152, 1218.4062], dtype=float32), array([2643.36  , 1053.0085, 2717.0312, 1256.2263], dtype=float32)]"
FIRST/clip4.png,"[array([1690.9214, 1209.8641, 1854.8633, 1610.3408], dtype=float32), array([  65.64074, 1107.2902 ,  206.23457, 1501.8885 ], dtype=float32), array([2643.8796, 1040.8875, 2772.4224, 1398.633 ], dtype=float32), array([1616.5422, 1229.6514, 1649.834 , 1317.7908], dtype=float32), array([ 626.26074, 1063.9996 ,  815.18744, 1537.9404 ], dtype=float32)]"
FIRST/clip3.png,"[array([2000.2446, 1158.297 , 2070.0615, 1320.2974], dtype=float32), array([1349.4591, 1227.1444, 1383.4945, 1317.0205], dtype=float32), array([1101.6766, 1216.5244, 1144.8158, 1332.105 ], dtype=float32), array([2176.537 , 1147.254 , 2230.7832, 1303.6401], dtype=float32), array([1395.5625, 1218.5156, 1430.1987, 1313.9613], dtype=float32), array([1780.0415, 1205.6539, 1806.1395, 1276.6969], dtype=float32)]"
FIRST/clip16.png,"[array([ 501.7763 , 1021.47626,  659.6045 , 1475.2751 ], dtype=float32), array([1250.6007, 1209.6257, 1303.6786, 1351.6407], dtype=float32), array([  91.13252,  963.0133 ,  235.91174, 1375.9733 ], dtype=float32), array([1342.18  , 1217.4357, 1387.3575, 1338.8662], dtype=float32), array([1311.9805, 1206.474 , 1357.9187, 1336.5608], dtype=float32), array([1045.9065, 1184.0311, 1108.7048, 1344.9171], dtype=float32), array([ 134.06981,  905.6978 ,  300.4828 , 1423.7809 ], dtype=float32), array([1179.7251, 1201.6677, 1227.3853, 1323.7454], dtype=float32), array([1271.2853, 1204.025 , 1313.3893, 1321.292 ], dtype=float32)]"
FIRST/clip18.png,"[array([ 850.0854, 1107.8405,  943.8341, 1358.6837], dtype=float32), array([1980.0999, 1199.4958, 2031.7476, 1331.0128], dtype=float32), array([1405.1293, 1214.8314, 1438.0756, 1306.9563], dtype=float32), array([1311.8827, 1210.146 , 1347.5419, 1302.9677], dtype=float32)]"
FIRST/clip12.png,"[array([ 634.0469, 1187.9031,  689.7855, 1332.766 ], dtype=float32), array([ 709.7569, 1213.8982,  758.5328, 1336.1913], dtype=float32)]"
FIRST/clip8.png,"[array([2222.5576, 1180.8225, 2267.4226, 1300.2301], dtype=float32), array([2613.1716, 1106.4567, 2677.0903, 1281.6818], dtype=float32), array([ 536.5615, 1181.7344,  584.3112, 1309.5199], dtype=float32), array([2144.986 , 1201.38  , 2173.1553, 1270.8618], dtype=float32), array([2327.0032, 1166.7024, 2371.669 , 1289.2405], dtype=float32), array([2108.5415, 1212.2738, 2132.8862, 1275.1891], dtype=float32)]"
