image_name,bboxs_coords
FIRST/clip9.png,"[array([2624.2144, 1066.2482, 2723.5146, 1321.0596], dtype=float32), array([2196.8271, 1173.4172, 2256.5027, 1330.0642], dtype=float32), array([2111.1365, 1181.3619, 2170.3333, 1337.7244], dtype=float32), array([2542.925 , 1108.5692, 2621.5479, 1316.6249], dtype=float32), array([2240.0635, 1157.4741, 2298.5093, 1324.0892], dtype=float32), array([2447.4558, 1115.4248, 2530.0671, 1324.1953], dtype=float32), array([1900.9252, 1229.5481, 1927.5266, 1293.5032], dtype=float32)]"
FIRST/clip20.png,"[array([2091.9333, 1141.4176, 2166.8713, 1332.2075], dtype=float32), array([2315.7854, 1169.1909, 2345.712 , 1249.6852], dtype=float32)]"
FIRST/clip7.png,"[array([2857.6182,  984.9911, 3017.122 , 1447.17  ], dtype=float32), array([ 333.91617, 1200.6027 ,  359.3936 , 1270.2994 ], dtype=float32), array([1824.9011, 1213.7166, 1895.4415, 1409.4772], dtype=float32), array([ 221.28693, 1178.8761 ,  252.93683, 1269.3379 ], dtype=float32), array([1577.805, 1253.375, 1630.662, 1387.939], dtype=float32), array([ 234.88058, 1186.7393 ,  264.9807 , 1270.6189 ], dtype=float32), array([1500.9137, 1247.1104, 1549.4253, 1371.4269], dtype=float32), array([1556.7461, 1240.6788, 1616.214 , 1387.1107], dtype=float32)]"
FIRST/clip15.png,"[array([2642.0508, 1047.1337, 2734.0112, 1289.8435], dtype=float32), array([ 682.7936 , 1217.662  ,  724.80426, 1332.7075 ], dtype=float32), array([  47.379913, 1088.7518  ,  138.6528  , 1330.4833  ], dtype=float32), array([ 746.79974, 1215.9862 ,  786.20917, 1325.7368 ], dtype=float32), array([1889.7045, 1215.278 , 1918.4827, 1288.3396], dtype=float32), array([  92.88889, 1123.9785 ,  162.92195, 1305.7072 ], dtype=float32), array([  17.235243, 1100.7767  ,   82.96396 , 1300.7537  ], dtype=float32)]"
FIRST/clip19.png,"[array([2711.6648 ,  974.40564, 2882.4392 , 1442.1525 ], dtype=float32), array([2002.7572, 1185.5845, 2055.7551, 1331.2363], dtype=float32)]"
FIRST/clip11.png,"[array([ 675.9495 , 1209.6371 ,  740.43365, 1384.4299 ], dtype=float32), array([2194.961 , 1174.452 , 2266.1204, 1360.0299], dtype=float32), array([2229.1467, 1160.8741, 2295.6672, 1340.4629], dtype=float32), array([2441.786 , 1172.283 , 2495.042 , 1319.4846], dtype=float32), array([2375.3286, 1165.8945, 2426.811 , 1310.4429], dtype=float32)]"
FIRST/clip13.png,"[array([ 789.937  , 1227.1375 ,  829.33405, 1334.5757 ], dtype=float32), array([ 817.9696, 1235.8229,  853.0658, 1336.2773], dtype=float32)]"
FIRST/clip1.png,"[array([1118.3792, 1195.099 , 1231.4662, 1450.3425], dtype=float32), array([2126.7876, 1180.8488, 2189.902 , 1353.0616], dtype=float32), array([ 369.2279 , 1067.9448 ,  482.84543, 1394.0004 ], dtype=float32), array([ 105.091286, 1082.4319  ,  244.18478 , 1428.5182  ], dtype=float32)]"
FIRST/clip14.png,"[array([1160.6084, 1212.6311, 1208.3881, 1338.6277], dtype=float32), array([1646.2721, 1220.7994, 1692.0032, 1327.1129], dtype=float32), array([1055.7064, 1216.2954, 1098.4814, 1339.1261], dtype=float32), array([2246.907 , 1126.6077, 2299.7468, 1269.954 ], dtype=float32), array([ 843.06274, 1218.2634 ,  874.3448 , 1305.1534 ], dtype=float32), array([1254.2405, 1224.3923, 1304.1316, 1348.2513], dtype=float32), array([ 831.2272, 1218.6699,  858.8802, 1297.0278], dtype=float32)]"
FIRST/clip2.png,"[array([2029.5903, 1149.6573, 2118.4775, 1381.0537], dtype=float32), array([1940.6555, 1178.4199, 2019.3204, 1393.8077], dtype=float32), array([1705.809 , 1228.2715, 1743.8622, 1328.5032], dtype=float32), array([2000.1283, 1153.2198, 2081.0535, 1371.982 ], dtype=float32), array([1757.7886, 1198.9497, 1823.6501, 1374.9645], dtype=float32)]"
